"Id rejestru"|"Typ praktyki"|"Numer uchwały wykr."|"Data uchwały wykr."|"Numer ksiegi"|"Nazwa"|"Izba kod"|"Izba opis"|"Numer wpisu do rejestru przedsiebiorcow"|"Forma organizacyjno - prawna kod"|"Forma organizacyjno - prawna opis"|"Data rozp. dzialalnosci"|"Data rozp. dzialalnosci art. 104"|"Data zak. dzialalnosci"
"33856"|"Grupowa"|""|""|"000000031128"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2002-04-17"|""|""
"33857"|"Grupowa"|""|""|"000000031129"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2002-04-17"|""|""
"33870"|"Grupowa"|""|""|"000000031135"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2000-11-08"|""|""
"33872"|"Grupowa"|""|""|"000000031136"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2000-11-08"|""|""
"33957"|"Grupowa"|""|""|"000000031179"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2002-11-13"|""|""
"34026"|"Grupowa"|""|""|"000000031213"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2003-01-08"|""|""
"34028"|"Grupowa"|""|""|"000000031214"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2003-01-08"|""|""
"34079"|"Grupowa"|""|""|"000000031238"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2003-01-08"|""|""
"34080"|"Grupowa"|""|""|"000000031239"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2003-01-08"|""|""
"34121"|"Grupowa"|""|""|"000000031259"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2003-06-25"|""|""
"34124"|"Grupowa"|""|""|"000000031260"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2003-06-25"|""|""
"34374"|"Grupowa"|""|""|"000000031384"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2004-06-23"|""|""
"34376"|"Grupowa"|""|""|"000000031385"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2004-06-23"|""|""
"34673"|"Grupowa"|""|""|"000000031530"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2005-10-12"|""|""
"34754"|"Grupowa"|""|""|"000000031568"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2006-01-11"|""|""
"34756"|"Grupowa"|""|""|"000000031569"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2006-01-11"|""|""
"34760"|"Grupowa"|""|""|"000000031571"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2006-02-01"|""|""
"34761"|"Grupowa"|""|""|"000000031572"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2006-02-01"|""|""
"34763"|"Grupowa"|""|""|"000000031573"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2006-02-01"|""|""
"35304"|"Grupowa"|""|""|"000000031841"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2008-05-07"|""|""
"35335"|"Grupowa"|""|""|"000000031856"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2008-07-23"|""|""
"35372"|"Grupowa"|""|""|"000000031875"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2008-09-10"|""|""
"35575"|"Grupowa"|""|""|"000000031973"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2009-03-11"|""|""
"35577"|"Grupowa"|""|""|"000000031974"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2009-03-11"|""|""
"35767"|"Grupowa"|""|""|"000000032066"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2010-01-13"|""|""
"35768"|"Grupowa"|""|""|"000000032067"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2010-01-13"|""|""
"35830"|"Grupowa"|""|""|"000000032099"|""|"50"|"Okręgowa Izba Lekarska w Białymstoku"|""|""|""|"2010-04-28"|""|""
