"Id rejestru"|"Typ praktyki"|"Numer uchwały wykr."|"Data uchwały wykr."|"Numer ksiegi"|"Nazwa"|"Izba kod"|"Izba opis"|"Numer wpisu do rejestru przedsiebiorcow"|"Forma organizacyjno - prawna kod"|"Forma organizacyjno - prawna opis"|"Data rozp. dzialalnosci"|"Data rozp. dzialalnosci art. 104"|"Data zak. dzialalnosci"
"29332"|"Grupowa"|""|""|"000000026826"|"Zespół Pielęgniarek Środowiskowo-Rodzinnych "ZDROWIE""|"15"|"Okręgowa Izba Pielęgniarek i Położnych w Koninie"|""|"0800"|"spółka cywilna"|"2006-06-01"|""|""
"30184"|"Grupowa"|""|""|"000000027353"|""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"72"|""|"2009-04-01"|""|""
"31843"|"Grupowa"|""|""|"000000028318"|"Pielęgniarska Spółka Partnerska Iwona Drąg i Partnerzy"|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"1000"|"spółka partnerska"|"2009-01-01"|""|""
"32427"|"Grupowa"|""|""|"000000028630"|""|"03"|"Okręgowa Izba Pielęgniarek i Położnych w Bielsku-Białej"|""|"72"|""|"2011-12-01"|""|""
"32428"|"Grupowa"|""|""|"000000028631"|"Położnictwo Środowiskowo-Rodzinne "Nowe Życie" Lidia Bizoń, Katarzyna Pająk, Agnieszka Belak spółka "|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0900"|"spółka jawna"|"2004-07-01"|""|""
"32440"|"Grupowa"|""|""|"000000028639"|"S.C. Pielęgniarsko - Położnicza"|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2000-01-01"|""|""
"32492"|"Grupowa"|""|""|"000000028665"|"Centrum Leczniczo-Pielęgnacyjne Tyrała i wspólnicy spółka jawna"|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0900"|"0900 - spółka jawna"|"2000-01-01"|""|""
"32698"|"Grupowa"|""|""|"000000028776"|""|"39"|"Okręgowa Izba Pielęgniarek i Położnych w Toruniu"|""|"72"|""|"2011-11-01"|""|""
"32752"|"Grupowa"|""|""|"000000028803"|"Grupowa Praktyka Pielęgniarek s.c."|"37"|"Okręgowa Izba Pielęgniarek i Położnych w Nowym Sączu"|""|"0800"|"spółka cywilna"|"2010-05-01"|""|""
"32799"|"Grupowa"|""|""|"000000028826"|""PLESMED"  Spółka Cywilna OPIEKA DŁUGOTERMINOWA Maria Michalska, Urszula Napierała"|"13"|"Okręgowa Izba Pielęgniarek i Położnych w Katowicach"|""|"0800"|"0800 - spółka cywilna"|"2010-09-25"|""|""
"32830"|"Grupowa"|""|""|"000000028845"|"Grupowa Praktyka Pielęgniarsko-Położnicza "Zdrowie" S.C."|"24"|"Okręgowa Izba Pielęgniarek i Położnych w Opolu"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"33156"|"Grupowa"|""|""|"000000130338"|"Grupowa Praktyka Pielęgniarek s.c. "Promocja Zdrowia""|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2004-01-01"|""|""
"33426"|"Grupowa"|""|""|"000000130495"|"Usługi Pielęgniarskie "Wsparcie" s.c."|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"0800"|"spółka cywilna"|"2000-01-01"|""|""
"33513"|"Grupowa"|""|""|"000000130556"|"Grupowa Praktyka Pielęgniarek Środowiskowo-Rodzinnych "Dom""|"09"|"Okręgowa Izba Pielęgniarek i Położnych w Gdańsku"|"Z-130556-20141222"|"0800"|"spółka cywilna"|"2007-01-01"|"2007-01-01"|""
"33558"|"Grupowa"|""|""|"000000130586"|""|"26"|"Okręgowa Izba Pielęgniarek i Położnych w Pile"|""|"72"|""|"2008-06-01"|""|""
"33907"|"Grupowa"|""|""|"000000130803"|"Grupowa Praktyka Pielęgniarska"|"36"|"Okręgowa Izba Pielęgniarek i Położnych w Szczecinie"|""|"0800"|"0800 - spółka cywilna"|"2010-03-01"|""|""
"34232"|"Grupowa"|""|""|"000000130984"|"Grupowa Praktyka Pielęgniarek Środowiskowo-Rodzinnych s.c."|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"34319"|"Grupowa"|""|""|"000000131040"|"GRUPOWA PRAKTYKA PIELĘGNIAREK S. C. "ZDROWIT""|"13"|"Okręgowa Izba Pielęgniarek i Położnych w Katowicach"|""|"0800"|"0800 - spółka cywilna"|"2002-06-19"|""|""
"34611"|"Grupowa"|""|""|"000000131206"|"''ZDROWIE RODZINY''Sp.j. Elżbieta Dorada, Agnieszka Matysiak"|"28"|"Okręgowa Izba Pielęgniarek i Położnych w Poznaniu"|""|"0900"|"0900 - spółka jawna"|"2001-04-01"|""|""
"34882"|"Grupowa"|""|""|"000000131359"|"Pielęgniarstwo Środowiskowo-Rodzinne "ZDROWIE" Taraska i Lupa sp. j."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0900"|"spółka jawna"|"2004-01-01"|""|""
"35015"|"Grupowa"|""|""|"000000004166"|"Spółka cywilna"|"45"|"Okręgowa Izba Pielęgniarek i Położnych w Zielonej Górze"|""|"0800"|"0800 - spółka cywilna"|"2007-10-18"|""|""
"35082"|"Grupowa"|""|""|"000000003919"|""|"45"|"Okręgowa Izba Pielęgniarek i Położnych w Zielonej Górze"|""|"72"|""|"2000-01-01"|""|""
"35184"|"Grupowa"|""|""|"000000131526"|"Grupowa Praktyka Pielęgniarek MADA-MED s.c."|"38"|"Okręgowa Izba Pielęgniarek i Położnych w Tarnowie"|""|"0800"|"spółka cywilna"|"2007-01-01"|""|""
"35313"|"Grupowa"|""|""|"000000131593"|""|"43"|"Okręgowa Izba Pielęgniarek i Położnych we Wrocławiu"|""|"72"|""|"2012-04-01"|""|""
"35720"|"Grupowa"|""|""|"000000131834"|"Grupowa Praktyka Pielęgniarek i Położnych "Komplex""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"0800 - spółka cywilna"|"1999-07-01"|""|""
"35749"|"Grupowa"|""|""|"000000131849"|"Grupowa Praktyka Pielęgniarek Środowiskowo-Rodzinnych Mariola Guźniczak, Krystyna Sylwestrzak"|"15"|"Okręgowa Izba Pielęgniarek i Położnych w Koninie"|""|"0800"|"spółka cywilna"|"2003-10-01"|""|""
"35787"|"Grupowa"|""|""|"000000131871"|"Opieka nad Matką i Dzieckiem Spółka Jawna, Małgorzata Baran, Katarzyna Bucała, Renata Stanek"|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0900"|"0900 - spółka jawna"|"2000-01-01"|""|""
"35793"|"Grupowa"|""|""|"000000131875"|"Grupowa Praktyka Położnych "OPIEKA" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"2004-03-01"|""|""
"35805"|"Grupowa"|""|""|"000000131882"|"Usługi Pielęgniarskie "ŻYCIE" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"35811"|"Grupowa"|""|""|"000000131888"|"Praktyka Grupowa Pielęgniarek Środowiskowo-Rodzinnych "Florencja" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"1999-10-04"|""|""
"35833"|"Grupowa"|""|""|"000000131902"|"Grupowa Praktyka Pielęgniarek "Piguła""|"24"|"Okręgowa Izba Pielęgniarek i Położnych w Opolu"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"35978"|"Grupowa"|""|""|"000000131992"|"Grupowa Praktyka Pielęgniarsko-Położnicza "OPIEKA" s.c.m."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"35990"|"Grupowa"|""|""|"000000131999"|"Grupowa Praktyka Pielęgniarek "ZDROWIE" s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2000-01-01"|""|""
"36063"|"Grupowa"|""|""|"000000132048"|""WSPARCIE" s.c. H. Grobelna, A. Żabińska, I. Syjud, M.Faltyn"|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"36140"|"Grupowa"|""|""|"000000132098"|"Usługi Pielęgniarskie A. Sołtys, M. Kwiatkowska, Z. Pach Spółka Jawna"|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|"485675"|"0900"|"0900 - spółka jawna"|"2000-01-01"|""|""
"36144"|"Grupowa"|""|""|"000000132100"|"Grupowa Praktyka Pielęgniarek "VITA" s.c"|"37"|"Okręgowa Izba Pielęgniarek i Położnych w Nowym Sączu"|""|"0800"|"0800 - spółka cywilna"|"2008-01-01"|""|""
"36174"|"Grupowa"|""|""|"000000132118"|"Pielęgniarska Praktyka Grupowa s.c."|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|""|"0800"|"spółka cywilna"|"2005-01-01"|""|""
"36178"|"Grupowa"|""|""|"000000132124"|"Grupowa Praktyka Położnych "Zdrowie" Agata Stańczyk i Anna Więcek Spółka Jawna"|"17"|"Okręgowa Izba Pielęgniarek i Położnych w Krakowie"|"0000468094"|"0900"|"0900 - spółka jawna"|"2000-01-01"|""|""
"36497"|"Grupowa"|""|""|"000000132311"|"Grupowa Praktyka Pielęgniarek "Centyl" s.c."|"37"|"Okręgowa Izba Pielęgniarek i Położnych w Nowym Sączu"|""|"0800"|"0800 - spółka cywilna"|"2006-01-01"|""|""
"36570"|"Grupowa"|""|""|"000000132348"|"Grupowa Praktyka Pielęgniarek Środowiskowo- Rodzinnych s.c"|"37"|"Okręgowa Izba Pielęgniarek i Położnych w Nowym Sączu"|""|"0800"|"spółka cywilna"|"2002-04-01"|""|""
"36684"|"Grupowa"|""|""|"000000132415"|"Grupowa Praktyka Pielęgniarek "Zdrowa Szkoła" s.c."|"27"|"Okręgowa Izba Pielęgniarek i Położnych w Płocku"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"36770"|"Grupowa"|""|""|"000000132463"|"Jankowska&amp;Frankowska Pielęgniarska Spółka Partnerska w Kaliszu"|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"1000"|"spółka partnerska"|"2000-01-01"|""|""
"36806"|"Grupowa"|""|""|"000000132486"|"Poradnia Pielęgniarek "Siódemka" "|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"0800 - spółka cywilna"|"2000-01-01"|""|""
"36911"|"Grupowa"|""|""|"000000132544"|"Grupowa Praktyka Pielęgniarek "SEPTIMA""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2001-01-01"|""|""
"37187"|"Grupowa"|""|""|"000000132749"|"Grupowa Praktyka Pielęgniarek "Uczań""|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"0800"|"spółka cywilna"|"2004-01-01"|""|""
"37199"|"Grupowa"|""|""|"000000132757"|""Usługi pielęgniarskie" Krystyna Stodolska spółka partnerska"|"12"|"Okręgowa Izba Pielęgniarek i Położnych w Kaliszu"|""|"1000"|"1000 - spółka partnerska"|"2004-02-23"|""|""
